dates,gdp,real_gdp,cpi,core_cpi,fedfunds,emratio,wti_oil,gscpi,divisia_m3,gov_total,gov_current,total_par,total_market,private_par,private_market
2000.01,0.02425417,0.01804892,0.00778852,0.00627309,5.68,64.6,-0.001041848,-0.6931472,0.012813091,0.017850421,0.022430895,0.000749,0.003637591,-0.01549733,-0.009692138
2000.02,0.00685021,0.00101852,0.00911657,0.00661889,6.27,64.5,0.09410913,-2.3025851,0.010228082,0.007159507,0.005211051,-0.011814,-0.008858707,-0.04894649,-0.04525551
2000.03,0.01133292,0.00595172,0.00708467,0.00602907,6.52,64.2,0.011320876,3.4011974,0.0160946,0.018178718,0.010463069,0.001025,0.010081555,-0.01953396,-0.009926461
2000.04,0.00329858,-0.00328302,0.00953939,0.00724148,6.47,64.3,-0.104388158,1.2039728,0.013701375,0.021796286,0.022356076,0.004614,0.021891272,-0.00691854,0.01083805
2001.01,0.01222271,0.00622463,0.00696828,0.00616551,5.59,64.3,-0.032812963,-0.037920661,0.03086293,0.023316489,0.010512343,0.004843,0.01323152,-0.01311671,-0.005644151
2001.02,-0.00009058,-0.00401318,0.00281881,0.00677058,4.33,63.8,-0.04699837,-0.1053605,0.027735088,0.005686827,0.016888103,-0.004065,-0.007353504,-0.041353,-0.04520222
2001.03,0.00587437,0.00274272,-0.00073213,0.00661865,3.5,63.5,-0.265376315,-0.117783,0.034258614,0.017366115,0.003771641,0.016932,0.037134652,0.02194446,0.04181565
2001.04,0.01147560,0.00833083,0.00320612,0.00546464,2.13,63,0.05762127,0.2231436,0.027662932,0.020767955,0.022270887,0.021402,0.009013131,0.01282212,-0.002086691
2002.01,0.00959446,0.00610677,0.00783133,0.00511915,1.73,62.8,0.195271433,-1.2039728,0.01697359,0.013008385,0.018344027,0.012559,0.003637656,0.00635168,-0.002007729
2002.02,0.00882981,0.00405791,0.00533483,0.00525018,1.75,62.8,0.07549371,0.5108256,0.01394756,0.012416866,0.008535482,0.017158,0.026454344,0.00653789,0.01598288
2002.03,0.00702188,0.00123618,0.00591276,0.00449322,1.74,62.8,-0.005308807,0.6931472,0.01753334,0.022765289,0.016730967,0.022455,0.043916204,0.02979522,0.05340097
